ioc,ioc_type,first_seen,last_seen,risk_score,sources,behaviour_tags,confidence_rating,target_countries,target_regions,target_industries,related_malware,related_threat_actors,is_whitelisted,common_tags
176.121.81.51,IPv4,1602979200,1778475785,99,"['Dan.me', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Talosintelligence', 'stamparm', 'threat_view_ip']","['Malicious', 'Malware', 'OSINT', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
178.218.144.51,IPv4,1671595486,1778475785,100,"['Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'malwarefilter_botnet', 'stamparm']","['Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'Malicious', 'OSINT', 'Osint', 'Phishing', 'SourceType', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,"['CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'Government & LEA']",['Tor'],,False,Tor
185.129.62.63,IPv4,1601929623,1778475785,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Talosintelligence', 'VirusTotal', 'dataplane.org', 'greensnow', 'jamesbrine', 'malwarefilter_botnet', 'myip.ms', 'nuug.no', 'stamparm']","['Backdoor', 'Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'BruteForce', 'Bruteforce', 'Defense', 'Finance', 'Financial', 'Government', 'Linux', 'Loader', 'Malicious', 'Malware', 'Microsoft', 'OS: ELF', 'OS: WIN', 'OSINT', 'Osint', 'Password Guessing', 'PasswordGuessing', 'Phishing', 'Remcos', 'Scam', 'SourceType', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node', 'TorExitNode', 'Windows']",High,"['CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'GB', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'BFSI', 'Government & LEA']","['Cobalt Strike', 'DarkComet', 'Dropbox', 'Mirai', 'Pikabot', 'RDP', 'Tor']",,False,"Mirai, Dropbox, Tor, RDP, Pikabot, DarkComet, Cobalt Strike"
185.100.87.174,IPv4,1638057600,1778475785,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'malwarefilter_botnet', 'stamparm']","['Adversary', 'Backdoor', 'Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'BruteForce', 'Bruteforce', 'Defense', 'Finance', 'Financial', 'Government', 'Linux', 'Loader', 'Malicious', 'Malware', 'Microsoft', 'Miner', 'MoneyLibra', 'OS: ELF', 'OS: WIN', 'OSINT', 'Osint', 'Phishing', 'Scam', 'SourceType', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node', 'TorExitNode', 'Windows']",High,"['AU', 'CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Australia and New Zealand (ANZ)', 'Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'BFSI', 'Government & LEA']","['Cobalt Strike', 'DarkComet', 'Dropbox', 'Mirai', 'Pikabot', 'RDP', 'RemcosRAT', 'Tor']",['Kinsing'],False,"Mirai, Dropbox, Tor, Kinsing, RemcosRAT, RDP, Pikabot, DarkComet, Cobalt Strike"
185.100.87.192,IPv4,1624406400,1778475785,100,"['Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Talosintelligence', 'greensnow', 'malwarefilter_botnet', 'myip.ms', 'sblam', 'stamparm']","['Blacklist', 'Blocklist', 'Bruteforce', 'Malicious', 'Malware', 'OSINT', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,"['CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'Government & LEA']",['Tor'],,False,Tor
178.20.55.182,IPv4,1696593668,1778475785,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'emergingthreats.net', 'jamesbrine', 'malwarefilter_botnet', 'myip.ms', 'sblam', 'stamparm', 'threat_view_ip']","['Blacklist', 'Blocklist', 'BruteForce', 'Bruteforce', 'Malicious', 'OSINT', 'Phishing', 'Spam', 'Suspected Compromise', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,"['AU', 'FR', 'US']","['Australia and New Zealand (ANZ)', 'Europe & UK', 'North America (NA)']","['BFSI', 'Government & LEA']",['Tor'],,False,Tor
178.218.144.18,IPv4,1667448276,1778475785,99,"['CyberCure', 'Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'blocklist.de', 'sblam', 'stamparm']","['Blacklist', 'Blocklist', 'Botnet', 'Malicious', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
173.237.206.68,IPv4,1624406400,1778475785,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'blocklist.de', 'dataplane.org', 'stamparm', 'threat_view_ip']","['Blocklist', 'BruteForce', 'Bruteforce', 'Malicious', 'Malware', 'OSINT', 'Phishing', 'Tor Anonymity', 'Tor Exit Node']",High,"['CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'Government & LEA']",['Tor'],,False,Tor
185.100.85.132,IPv4,1626934051,1778475785,100,"['Cyble Research Intelligence Labs', 'Cymru', 'Dan.me', 'Malware Patrol Tor Exit Nodes', 'VirusTotal', 'dataplane.org', 'stamparm']","['Adversary', 'Blacklist', 'Blocklist', 'Botnet', 'Malicious', 'OSINT', 'Phishing', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],['UNC6395 '],False,"Tor, UNC6395 "
171.25.193.82,IPv4,1756771231,1778475785,99,"['Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'VirusTotal', 'VirusTotal (IP Feed)', 'malwarefilter_botnet', 'myip.ms', 'sblam']","['Blacklist', 'Blocklist', 'Malicious', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
185.130.47.58,IPv4,1630108866,1778475785,100,"['CyberCure', 'Dan.me', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'TRCERT', 'VirusTotal', 'VirusTotal (IP Feed)', 'dataplane.org', 'sblam', 'stamparm']","['Adversary', 'Blacklist', 'BlingLibra', 'Blocklist', 'GRUB1ThreatActor', 'Malicious', 'OSINT', 'Phishing', 'ShinyHuntersGroup', 'Spam', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node', 'UNC6240']",High,,,,['Tor'],"['ShinyHunters', 'UNC6040', 'UNC6395 ']",False,"Tor, UNC6395 , UNC6040, ShinyHunters"
185.165.171.84,IPv4,1635379200,1778475785,100,"['Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'blocklist.de', 'malwarefilter_botnet', 'stamparm']","['Blocklist', 'Bruteforce', 'Malicious', 'Malware', 'OS: ELF', 'OS: WIN', 'OSINT', 'Phishing', 'Tor Anonymity', 'Tor Exit Node']",High,"['CA', 'CZ', 'DE', 'DK', 'EE', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'BFSI', 'Government & LEA']","['DarkComet', 'Mirai', 'RDP', 'Tor']",,False,"Tor, Mirai, DarkComet, RDP"
185.100.87.136,IPv4,1628698050,1778475785,100,"['CyberCure', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'Sentinel Turris', 'VirusTotal', 'VirusTotal (IP Feed)', 'binarydefense', 'blocklist.de', 'malwarefilter_botnet', 'stamparm']","['BadIP', 'Blacklist', 'Blocklist', 'Http', 'Malicious', 'OSINT', 'Phishing', 'Suspicious', 'Tor Anonymity', 'Tor Exit Node']",High,['US'],['North America (NA)'],['BFSI'],['Tor'],,False,Tor
176.65.134.8,IPv4,1745573630,1778475785,99,"['Cyble Partner Feed', 'Dan.me', 'IPsum', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'malwarefilter_botnet', 'sblam', 'threat_view_ip']","['Blacklist', 'Blocklist', 'Malicious', 'Malware', 'OSINT', 'Phishing', 'Spam', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
185.129.62.62,IPv4,1601164800,1778475785,100,"['CyberCure', 'Cyble Research Intelligence Labs', 'Dan.me', 'IPsum', 'MalSilo', 'Malware Patrol High Risk IPs', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'Quentin McGaw qdm13', 'TRCERT', 'Talosintelligence', 'dataplane.org', 'greensnow', 'jamesbrine', 'malwarefilter_botnet', 'stamparm']","['Aerospace', 'Backdoor', 'Blacklist', 'BlockOrFilterList', 'Blocklist', 'Botnet', 'BruteForce', 'Bruteforce', 'Defense', 'Energy', 'Finance', 'Financial', 'Government', 'Linux', 'Loader', 'Malicious', 'Malware', 'Microsoft', 'OS: ELF', 'OS: WIN', 'OSINT', 'Osint', 'Python', 'Scam', 'SourceType', 'Suspicious', 'ThreatIntelligence', 'Tor Anonymity', 'Tor Exit Node', 'TorExitNode', 'Windows']",High,"['AU', 'CA', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FR', 'LT', 'LV', 'NO', 'PL', 'RO', 'TR', 'UA', 'US']","['Australia and New Zealand (ANZ)', 'Europe & UK', 'Middle East & Africa (MEA)', 'North America (NA)']","['Aerospace & Defense', 'BFSI', 'Energy & Utilities', 'Government & LEA']","['Bamital', 'Bedep', 'BigViktor', 'Chinad', 'Cobalt Strike', 'DarkComet', 'Dropbox', 'IMAPLoader', 'liderc', 'Mirai', 'Pikabot', 'PowerShell RAT', 'RDP', 'RemcosRAT', 'Tor']",,False,"Mirai, RDP, Dropbox, PowerShell RAT, DarkComet, IMAPLoader, Tor, Bamital, RemcosRAT, Chinad, Pikabot, BigViktor, Bedep, liderc, Cobalt Strike"
185.132.53.46,IPv4,1601932824,1778475785,99,"['CyberCure', 'Dan.me', 'Malware Patrol Tor Exit Nodes', 'Open Source Intelligence Feed', 'VirusTotal', 'threat_view_ip', 'urlhaus.abuse.ch']","['Malicious', 'OSINT', 'Tor Anonymity', 'Tor Exit Node']",High,,,,['Tor'],,False,Tor
